Alert ID,SMARTS,ARTICLEID,PROPERTY,NAME,DESCRIPTION,PAGE,TABLE,LINE,COMMENT,SMARTS_DESCRIPTION,PUBMEDID,Publication
TA2413,[!#6!#1;R1]1-[!#6!#1;R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Saturated three-membered heterocycles with two heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2414,[#7R1]1-[#7R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Diaziridines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2415,[#8R1]1-[#8R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Dioxiranes,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2416,[#8R1]1-[#7R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Oxaziridines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2417,[#16X2R1]1-[#7R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),Thiaziridines,,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2418,"[$([!#1!#6;R1]1=[!#1!#6;R1]~[#6R1]~1),$([!#1!#6;R1]1~[!#6!#1;R1]=[#6R1]~1)]",A27542,Extended Functional Groups (EFG),Unsaturated three-membered heterocycles with two heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2419,[#7R1]1-[#7R1]=[#6R1]-1,A27542,Extended Functional Groups (EFG),1H-Diazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2420,[#7R1]1=[#7R1]-[#6R1]-1,A27542,Extended Functional Groups (EFG),3H-Diazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2421,[#7R1]1=[#6R1]-[#8R1]-1,A27542,Extended Functional Groups (EFG),Oxazirenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2422,[#7R1]1=[#6R1]-[#16X2R1]-1,A27542,Extended Functional Groups (EFG),Thiazerenes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2423,[!#6!#1;R1]1~[!#6!#1;R1]~[!#6!#1;R1]~1,A27542,Extended Functional Groups (EFG),Three-membered heterocycles with three heteroatoms,A = any atom except carbon; a dashed line indicates any type of covalent bonds,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2424,[!#6!#1;R1]1-[!#6!#1;R1]-[!#6!#1;R1]-1,A27542,Extended Functional Groups (EFG),Saturated three-membered heterocycles with three heteroatoms,A = any atom except carbon,-,-,-,High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed),,26703557,"2015 Salmina, ES"
TA2425,[#7R1]1-[#7R1]-[#7R1]-1,A27542,Extended Functional Groups (EFG),Triaziridines,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2426,[#8R1]1-[#8R1]-[#8R1]-1,A27542,Extended Functional Groups (EFG),Trioxiranes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
TA2427,[#16X2R1]1-[#16X2R1]-[#16X2R1]1,A27542,Extended Functional Groups (EFG),Trithiiranes,,-,-,-,"High specificity (HS) pattern matches chemicals that include exact heterocyclic moiety as in the depiction (fusion with other ring(s) are not allowed)
",,26703557,"2015 Salmina, ES"
